GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Apache Commons Collections,org.apache.commons.collections4.keyvalue,TiedMapEntry,3,91,3,11,1,20,3,11,0,7
Apache Commons Collections,org.apache.commons.collections4.keyvalue,AbstractMapEntry,0,56,0,12,0,12,0,10,0,4
Apache Commons Collections,org.apache.commons.collections4.keyvalue,UnmodifiableMapEntry,0,24,0,0,0,7,0,4,0,4
Apache Commons Collections,org.apache.commons.collections4.keyvalue,AbstractKeyValue,0,44,0,0,0,17,0,6,0,6
Apache Commons Collections,org.apache.commons.collections4.keyvalue,MultiKey,3,330,2,18,1,66,2,28,0,20
Apache Commons Collections,org.apache.commons.collections4.keyvalue,DefaultMapEntry,0,19,0,0,0,6,0,3,0,3
Apache Commons Collections,org.apache.commons.collections4.keyvalue,DefaultKeyValue,8,92,4,12,2,23,4,13,0,9
Apache Commons Collections,org.apache.commons.collections4.keyvalue,AbstractMapEntryDecorator,6,37,1,1,2,10,2,7,1,7
Apache Commons Collections,org.apache.commons.collections4.splitmap,TransformedSplitMap,14,96,1,3,5,21,3,10,2,9
Apache Commons Collections,org.apache.commons.collections4.splitmap,AbstractIterableGetMapDecorator,17,62,1,1,4,17,4,13,3,13
Apache Commons Collections,org.apache.commons.collections4.collection,AbstractCollectionDecorator,3,85,0,0,2,22,1,18,1,18
Apache Commons Collections,org.apache.commons.collections4.collection,TransformedCollection,0,98,1,5,0,19,1,9,0,7
Apache Commons Collections,org.apache.commons.collections4.collection,IndexedCollection,2,240,2,22,1,61,2,29,0,19
Apache Commons Collections,org.apache.commons.collections4.collection,UnmodifiableBoundedCollection,24,81,4,8,6,22,6,14,2,12
Apache Commons Collections,org.apache.commons.collections4.collection,PredicatedCollection,10,97,2,4,2,22,2,9,0,8
Apache Commons Collections,org.apache.commons.collections4.collection,CompositeCollection,29,335,0,40,8,80,4,44,4,24
Apache Commons Collections,org.apache.commons.collections4.collection,SynchronizedCollection,0,252,1,5,0,51,1,24,0,22
Apache Commons Collections,org.apache.commons.collections4.collection,IndexedCollection.IteratorDecorator,0,25,0,0,0,9,0,3,0,3
Apache Commons Collections,org.apache.commons.collections4.collection,PredicatedCollection.Builder,22,137,1,3,5,33,3,13,2,12
Apache Commons Collections,org.apache.commons.collections4.collection,UnmodifiableCollection,0,49,0,2,0,14,0,11,0,10
Apache Commons Collections,org.apache.commons.collections4.comparators,TransformingComparator,4,90,3,11,0,21,3,9,0,5
Apache Commons Collections,org.apache.commons.collections4.comparators,ReverseComparator,8,45,2,6,3,12,3,6,1,4
Apache Commons Collections,org.apache.commons.collections4.comparators,BooleanComparator,7,76,1,13,1,16,2,15,1,9
Apache Commons Collections,org.apache.commons.collections4.comparators,ComparableComparator,0,32,0,6,0,8,0,9,0,6
Apache Commons Collections,org.apache.commons.collections4.comparators,FixedOrderComparator.UnknownObjectBehavior,0,21,0,0,0,4,0,1,0,1
Apache Commons Collections,org.apache.commons.collections4.comparators,FixedOrderComparator,28,278,3,41,2,48,3,32,0,12
